idx,tsDeltaMs,speedKmh,g_old,g_new
0,0,0.10,0.0000,0.0000
1,40,0.10,0.0000,0.0000
2,80,0.10,0.0000,0.0000
3,120,0.10,0.0000,-0.0000
4,160,0.10,0.0000,0.0000
5,200,0.10,0.0000,-0.0000
6,240,0.10,0.0000,0.0000
7,280,0.10,0.0000,-0.0000
8,320,0.10,0.0000,0.0000
9,360,0.10,0.0000,-0.0000
10,400,0.10,0.0000,0.0000
11,440,0.10,0.0000,-0.0000
12,480,0.10,0.0000,0.0000
13,520,0.10,0.0000,-0.0000
14,560,0.10,0.0000,0.0000
15,600,0.10,0.0000,-0.0000
16,640,0.10,0.0000,0.0000
17,680,0.10,0.0000,-0.0000
18,720,0.10,0.0000,0.0000
19,760,0.10,0.0000,-0.0000
20,800,0.10,0.0000,0.0000
21,840,0.10,0.0000,-0.0000
22,880,0.10,0.0000,0.0000
23,920,0.10,0.0000,-0.0000
24,960,0.10,0.0000,0.0000
25,1000,0.10,0.0000,-0.0000
26,1040,0.10,0.0000,0.0000
27,1080,0.10,0.0000,-0.0000
28,1120,0.10,0.0000,0.0000
29,1160,0.10,0.0000,-0.0000
30,1200,0.10,0.0000,0.0000
31,1240,0.10,0.0000,0.0142
32,1280,0.10,0.0000,0.0212
33,1320,0.20,0.0708,0.0212
34,1360,0.20,0.0000,0.0283
35,1400,0.20,0.0000,0.0212
36,1440,0.30,0.0708,0.0496
37,1480,0.30,0.0000,0.0849
38,1520,0.50,0.1416,0.1133
39,1560,0.70,0.1416,0.1274
40,1600,0.90,0.1416,0.1203
41,1640,1.00,0.0708,0.1062
42,1680,1.20,0.1416,0.1062
43,1720,1.30,0.0708,0.1345
44,1760,1.50,0.1416,0.1770
45,1800,1.80,0.2124,0.2478
46,1840,2.20,0.2832,0.3044
47,1880,2.70,0.3539,0.3256
48,1920,3.20,0.3539,0.3327
49,1960,3.60,0.2832,0.3469
50,2000,4.10,0.3539,0.3327
51,2040,4.70,0.4247,0.3327
52,2080,5.00,0.2124,0.3539
53,2120,5.50,0.3539,0.3539
54,2160,6.20,0.4955,0.3893
55,2200,6.60,0.2832,0.4247
56,2240,7.20,0.4247,0.4106
57,2280,8.00,0.5663,0.3823
58,2320,8.40,0.2832,0.3327
59,2360,8.70,0.2124,0.3256
60,2400,9.20,0.3539,0.3823
61,2440,9.90,0.4955,0.4318
62,2480,10.50,0.4247,0.4247
63,2520,11.10,0.4247,0.3893
64,2560,11.60,0.3539,0.3539
65,2600,12.10,0.3539,0.3469
66,2640,12.50,0.2832,0.3398
67,2680,13.10,0.4247,0.3539
68,2720,13.50,0.2832,0.3964
69,2760,14.10,0.4247,0.4035
70,2840,14.80,0.2478,0.4247
71,2880,15.30,0.3539,0.3893
72,2920,15.90,0.4247,0.4531
73,2960,16.30,0.2832,0.5238
74,3000,17.50,0.8495,0.5451
75,3040,18.20,0.4955,0.5451
76,3080,18.80,0.4247,0.5026
77,3120,19.50,0.4955,0.5380
78,3160,20.40,0.6371,0.5451
79,3200,21.20,0.5663,0.5522
80,3240,21.80,0.4247,0.5168
81,3280,22.70,0.6371,0.5451
82,3320,23.30,0.4247,0.5663
83,3360,24.30,0.7079,0.5592
84,3400,25.00,0.4955,0.6159
85,3480,25.80,0.2832,0.6442
86,3520,26.90,0.7787,0.6867
87,3560,27.90,0.7079,0.7716
88,3600,28.80,0.6371,0.7645
89,3640,30.30,1.0618,0.7291
90,3680,31.10,0.5663,0.6371
91,3720,31.90,0.5663,0.4955
92,3760,32.50,0.4247,0.5097
93,3800,33.10,0.4247,0.5380
94,3840,34.10,0.7079,0.6088
95,3880,34.90,0.5663,0.6088
96,3920,35.90,0.7079,0.5380
97,3960,36.50,0.4247,0.5097
98,4000,37.10,0.4247,0.4955
99,4040,37.90,0.5663,0.5097
100,4080,38.70,0.5663,0.5238
101,4160,39.30,0.2124,0.5097
102,4200,40.10,0.5663,0.4884
103,4240,40.80,0.4955,0.5451
104,4280,41.40,0.4247,0.5592
105,4320,42.50,0.7787,0.5663
