idx,tsDeltaMs,speedKmh,g_old,g_new
0,0,0.10,0.0000,0.0000
1,40,0.10,0.0000,0.0000
2,80,0.10,0.0000,0.0000
3,120,0.10,0.0000,-0.0000
4,160,0.10,0.0000,0.0000
5,200,0.10,0.0000,-0.0000
6,280,0.10,0.0000,0.0000
7,360,0.10,0.0000,-0.0000
8,480,0.10,0.0000,0.0000
9,560,0.10,0.0000,-0.0000
10,600,0.10,0.0000,0.0000
11,640,0.10,0.0000,-0.0000
12,680,0.10,0.0000,0.0000
13,720,0.10,0.0000,-0.0000
14,800,0.10,0.0000,0.0000
15,1000,0.10,0.0000,-0.0000
16,1120,0.10,0.0000,0.0000
17,1160,0.10,0.0000,-0.0000
18,1200,0.10,0.0000,0.0000
19,1240,0.10,0.0000,-0.0000
20,1280,0.10,0.0000,0.0000
21,1320,0.10,0.0000,-0.0000
22,1360,0.10,0.0000,0.0000
23,1400,0.10,0.0000,-0.0000
24,1440,0.10,0.0000,0.0000
25,1480,0.10,0.0000,-0.0000
26,1520,0.10,0.0000,0.0000
27,1560,0.10,0.0000,0.0142
28,1600,0.10,0.0000,0.0071
29,1640,0.20,0.0708,-0.0000
30,1680,0.10,-0.0708,-0.0071
31,1720,0.10,0.0000,-0.0142
32,1760,0.10,0.0000,0.0000
33,1800,0.10,0.0000,-0.0000
34,1880,0.10,0.0000,0.0000
35,1920,0.10,0.0000,-0.0000
36,1960,0.10,0.0000,0.0000
37,2000,0.10,0.0000,-0.0000
38,2040,0.10,0.0000,0.0000
39,2080,0.10,0.0000,-0.0000
40,2280,0.10,0.0000,0.0000
41,2360,0.10,0.0000,-0.0000
42,2680,0.10,0.0000,0.0000
43,2720,0.10,0.0000,-0.0000
44,2760,0.10,0.0000,0.0000
45,2800,0.10,0.0000,-0.0000
46,2880,0.10,0.0000,0.0000
47,2960,0.10,0.0000,-0.0000
48,3000,0.10,0.0000,0.0142
49,3160,0.10,0.0000,0.0212
50,3200,0.20,0.0708,0.0496
51,3280,0.20,0.0000,0.0566
52,3320,0.40,0.1416,0.0425
53,3360,0.40,0.0000,0.0283
54,3400,0.40,0.0000,-0.0142
55,3440,0.40,0.0000,-0.0354
56,3480,0.30,-0.0708,-0.0425
57,3520,0.20,-0.0708,-0.0354
58,3560,0.20,0.0000,-0.0142
59,3600,0.20,0.0000,-0.0000
60,3800,0.20,0.0000,0.0000
61,3840,0.20,0.0000,-0.0000
62,4000,0.20,0.0000,0.0000
63,4040,0.20,0.0000,0.0142
64,4080,0.20,0.0000,0.0212
65,4120,0.30,0.0708,0.0212
66,4160,0.30,0.0000,0.0000
67,4200,0.30,0.0000,-0.0212
68,4240,0.20,-0.0708,-0.0212
69,4280,0.20,0.0000,-0.0142
70,4320,0.20,0.0000,0.0000
71,4480,0.20,0.0000,-0.0000
72,4520,0.20,0.0000,0.0000
73,4720,0.20,0.0000,0.0283
74,4760,0.20,0.0000,0.0566
75,4880,0.40,0.0472,0.0779
76,4920,0.50,0.0708,0.0849
77,4960,0.60,0.0708,0.0708
78,5000,0.70,0.0708,0.0708
79,5040,0.80,0.0708,0.0566
80,5080,0.90,0.0708,0.0496
81,5120,0.90,0.0000,0.0496
82,5160,1.00,0.0708,0.0425
83,5200,1.10,0.0708,0.0354
84,5240,1.10,0.0000,0.0425
85,5280,1.10,0.0000,0.0425
86,5320,1.30,0.1416,0.0566
87,5360,1.30,0.0000,0.0637
88,5400,1.40,0.0708,0.0991
89,5440,1.50,0.0708,0.1345
90,5480,1.90,0.2832,0.1203
91,5520,2.00,0.0708,0.0920
92,5560,2.00,0.0000,0.0920
93,5600,2.10,0.0708,0.1487
94,6120,2.50,0.0218,0.1911
95,6200,2.80,0.1062,0.2194
96,6280,3.00,0.0708,0.8919
97,6320,3.40,0.2832,1.3096
98,6360,8.50,3.6103,1.4512
99,6400,9.30,0.5663,1.1468
100,6440,10.30,0.7079,0.4743
101,6480,10.60,0.2124,0.4177
102,6520,11.20,0.4247,0.3681
103,6560,11.80,0.4247,0.3752
104,6680,12.30,0.1180,0.3610
