idx,tsDeltaMs,speedKmh,g_old,g_new
0,0,99.80,0.0000,0.1062
1,40,100.00,0.1416,0.1534
2,80,100.20,0.1416,0.1699
3,120,100.40,0.1416,0.1841
4,160,100.80,0.2832,0.1841
5,200,101.00,0.1416,0.1557
6,240,101.20,0.1416,0.1345
7,280,101.30,0.0708,0.1416
8,320,101.60,0.2124,0.1770
9,360,101.80,0.1416,0.1982
10,400,102.20,0.2832,0.1699
11,440,102.40,0.1416,0.1345
12,480,102.50,0.0708,0.1274
13,520,102.60,0.0708,0.1628
14,560,103.00,0.2832,0.1911
15,600,103.30,0.2124,0.1770
16,640,103.50,0.1416,0.1345
17,680,103.60,0.0708,0.1203
18,720,103.80,0.1416,0.1416
19,760,104.00,0.1416,0.1628
20,800,104.30,0.2124,0.1628
21,840,104.50,0.1416,0.1416
22,880,104.70,0.1416,0.1345
23,920,104.80,0.0708,0.1416
24,960,105.10,0.2124,0.1628
25,1000,105.30,0.1416,0.1770
26,1040,105.60,0.2124,0.1487
27,1080,105.80,0.1416,0.1345
28,1120,105.90,0.0708,0.1345
29,1160,106.10,0.1416,0.1487
30,1200,106.40,0.2124,0.1770
31,1240,106.60,0.1416,0.1770
32,1280,106.90,0.2124,0.1628
33,1320,107.10,0.1416,0.1557
34,1360,107.30,0.1416,0.1274
35,1400,107.50,0.1416,0.0920
36,1440,107.60,0.0708,0.0496
37,1480,107.60,0.0000,0.0142
38,1520,107.60,0.0000,0.0000
39,1560,107.60,0.0000,-0.0425
40,1600,107.60,0.0000,-0.1345
41,1680,107.30,-0.1062,-0.2832
42,1720,106.80,-0.3539,-0.4318
43,1760,106.00,-0.5663,-0.6088
44,1800,105.20,-0.5663,-0.6796
45,1840,103.80,-0.9911,-0.6725
46,1880,103.10,-0.4955,-0.6300
47,1920,102.30,-0.5663,-0.5805
48,1960,101.50,-0.5663,-0.6229
49,2000,100.50,-0.7079,-0.6159
50,2040,99.60,-0.6371,-0.6371
51,2080,98.90,-0.4955,-0.6229
52,2120,97.80,-0.7787,-0.6442
53,2160,97.00,-0.5663,-0.6937
54,2200,96.00,-0.7079,-0.6867
55,2240,94.90,-0.7787,-0.7221
56,2280,94.00,-0.6371,-0.7362
57,2320,92.90,-0.7787,-0.7645
58,2360,91.80,-0.7787,-0.7716
59,2400,90.60,-0.8495,-0.7716
60,2440,89.70,-0.6371,-0.7716
61,2480,88.50,-0.8495,-0.7999
62,2520,87.40,-0.7787,-0.8070
63,2560,86.10,-0.9203,-0.7928
64,2600,85.20,-0.6371,-0.7858
65,2640,84.00,-0.8495,-0.7716
66,2680,82.90,-0.7787,-0.7928
67,2720,81.80,-0.7787,-0.7504
68,2760,80.70,-0.7787,-0.7079
69,2800,79.80,-0.6371,-0.6796
70,2840,78.90,-0.6371,-0.6867
71,2880,77.90,-0.7079,-0.7433
72,2920,76.80,-0.7787,-0.7858
73,2960,75.60,-0.8495,-0.7999
74,3000,74.50,-0.7787,-0.8070
75,3040,73.40,-0.7787,-0.7716
76,3080,72.20,-0.8495,-0.7574
77,3120,71.30,-0.6371,-0.7645
78,3160,70.20,-0.7787,-0.7433
79,3200,69.00,-0.8495,-0.7291
80,3240,68.10,-0.6371,-0.6937
81,3280,67.20,-0.6371,-0.7008
82,3320,66.20,-0.7079,-0.7362
83,3360,65.00,-0.8495,-0.7504
84,3400,64.00,-0.7079,-0.7504
85,3440,63.00,-0.7079,-0.7291
86,3480,61.90,-0.7787,-0.7008
87,3520,60.90,-0.7079,-0.6796
88,3560,60.10,-0.5663,-0.6796
89,3600,59.10,-0.7079,-0.7150
90,3640,58.00,-0.7787,-0.7787
91,3680,56.90,-0.7787,-0.8141
92,3720,55.70,-0.8495,-0.7928
93,3760,54.50,-0.8495,-0.7716
94,3800,53.60,-0.6371,-0.7362
95,3840,52.50,-0.7787,-0.7008
96,3880,51.50,-0.7079,-0.7150
97,3920,50.60,-0.6371,-0.6796
98,3960,49.50,-0.7787,-0.6725
99,4000,48.70,-0.5663,-0.7362
100,4040,47.70,-0.7079,-0.7787
101,4080,46.30,-0.9911,-0.7999
102,4120,45.20,-0.7787,-0.7504
103,4160,44.30,-0.6371,-0.6654
104,4200,43.40,-0.6371,-0.6654
105,4240,42.50,-0.6371,-0.6937
106,4280,41.40,-0.7787,-0.7291
107,4320,40.40,-0.7079,-0.7574
108,4360,39.30,-0.7787,-0.7787
109,4400,38.20,-0.7787,-0.7716
110,4440,37.00,-0.8495,-0.7150
111,4480,36.10,-0.6371,-0.6583
112,4520,35.30,-0.5663,-0.6159
113,4560,34.40,-0.6371,-0.6229
114,4600,33.50,-0.6371,-0.6513
115,4640,32.60,-0.6371,-0.6867
116,4680,31.60,-0.7079,-0.7150
117,4720,30.50,-0.7787,-0.7433
118,4760,29.50,-0.7079,-0.7574
119,4800,28.40,-0.7787,-0.7787
120,4840,27.30,-0.7787,-0.8424
121,4880,26.10,-0.8495,-0.8495
122,4920,24.70,-0.9911,-0.8212
123,4960,23.70,-0.7079,-0.7787
124,5000,22.70,-0.7079,-0.7150
125,5040,21.60,-0.7787,-0.7079
126,5080,20.70,-0.6371,-0.7008
127,5120,19.70,-0.7079,-0.6654
128,5160,18.70,-0.7079,-0.6654
129,5200,17.90,-0.5663,-0.6513
130,5240,16.90,-0.7079,-0.6442
131,5280,16.00,-0.6371,-0.6513
132,5320,15.10,-0.6371,-0.6513
133,5360,14.20,-0.6371,-0.6725
134,5400,13.20,-0.7079,-0.6796
135,5440,12.20,-0.7079,-0.6725
136,5480,11.30,-0.6371,-0.6654
137,5520,10.40,-0.6371,-0.6583
138,5560,9.40,-0.7079,-0.6442
139,5600,8.50,-0.6371,-0.6442
140,5640,7.70,-0.5663,-0.6371
141,5680,6.70,-0.7079,-0.6159
142,5720,5.80,-0.6371,-0.6088
